nombre_curso,price(USD),cant_suscriptores,cant_opiniones,cant_lecciones,nivel,valoracion,duracion_curso,categoria,Free/Paid,fecha_curso,año
Basic Excel for Basic Bookkeeping and Accounting,95.0,7743,340,33,Mixto,0.35000000000000003,1.5,Negocios y Finanzas,Paid,2015-09-10,2015
Options Trading - How to Win with Weekly Options,115.0,7489,1190,25,Principiante,0.75,1.0,Negocios y Finanzas,Paid,2015-10-22,2015
【１日でマスター！】今日からはじめる資産形成,20.0,7183,819,14,Mixto,3.5999999999999996,1.0,Negocios y Finanzas,Paid,2017-01-19,2017
Get Started With Penny Stocks -Step by Step Guide to Trading,200.0,7159,61,18,Mixto,0.55,2.0,Negocios y Finanzas,Paid,2014-06-02,2014
Learn to Trade the Stock Market without Blowing Your Profits,60.0,6967,16,34,Principiante,2.4,1.0,Negocios y Finanzas,Paid,2017-05-02,2017
Website Investing 101 - Buying & Selling Online Businesses,0.0,6811,151,51,Intermedio,2.6,2.0,Negocios y Finanzas,Free,2016-08-05,2016
Use Crowdfunding Effectively With Indiegogo and Kickstarter,0.0,6533,32,9,Mixto,1.0,2.0,Negocios y Finanzas,Free,2013-06-25,2013
"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",125.0,6451,237,28,Mixto,4.0,5.0,Negocios y Finanzas,Paid,2014-04-16,2014
Foundation of Options Trading and Investing,20.0,6374,21,14,Principiante,1.5,1.0,Negocios y Finanzas,Paid,2013-10-16,2013
Four Fundamentals of Financial Planning,30.0,6219,23,20,Intermedio,2.7,1.0,Negocios y Finanzas,Paid,2017-02-14,2017
The Beginner's Guide to the Futures and Options Trading,0.0,6185,138,20,Principiante,1.7999999999999998,3.0,Negocios y Finanzas,Free,2016-01-18,2016
Option Trading for Rookies: The Covered Call Option Strategy,95.0,6092,25,29,Intermedio,0.55,1.5,Negocios y Finanzas,Paid,2016-11-03,2016
Forex Basics (Professional Course Level),20.0,6050,34,25,Mixto,2.2,1.5,Negocios y Finanzas,Paid,2014-12-19,2014
Shark Accounting - Building a Business by the Numbers!,20.0,6050,140,17,Mixto,4.0,1.5,Negocios y Finanzas,Paid,2014-05-18,2014
Como Investir em Ações para Iniciantes,0.0,6024,890,18,Principiante,1.45,1.0,Negocios y Finanzas,Free,2014-04-11,2014
Monatlich Geld anlegen für später!,30.0,5983,135,7,Principiante,3.7,0.6166666667,Negocios y Finanzas,Paid,2015-10-06,2015
Introductory Forex Trading Course,0.0,5931,158,15,Intermedio,4.35,3.5,Negocios y Finanzas,Free,2016-05-04,2016
Binary Options Course - Level 2,0.0,5874,207,9,Principiante,2.75,2.0,Negocios y Finanzas,Free,2014-06-26,2014
Basic Bookkeeping Hacks,20.0,5841,16,28,Principiante,1.45,1.5,Negocios y Finanzas,Paid,2016-06-14,2016
