course_id,date_reviews,rating
becoming-a-veterinarian,2019,4.659574468085107
becoming-a-veterinarian,2020,4.872727272727273
beyond-the-sustainable-development-goals-addressing-sustainability-and-development,2020,4.672413793103448
big-data-essentials,2017,3.5
big-data-essentials,2018,3.4107142857142856
big-data-essentials,2019,3.511111111111111
big-data-essentials,2020,3.6470588235294117
big-data-introduction,2016,4.331818181818182
big-data-introduction,2017,4.495918367346939
big-data-introduction,2018,4.575675675675676
big-data-introduction,2019,4.5829383886255926
big-data-introduction,2020,4.678129298486932
big-history,2015,4.791666666666667
big-history,2016,4.753968253968254
big-history,2017,4.784313725490196
big-history,2018,4.708333333333333
big-history,2019,4.918918918918919
big-history,2020,4.794642857142857
biohacking-your-brains-health,2018,4.454545454545454
biohacking-your-brains-health,2019,4.56
biohacking-your-brains-health,2020,4.755681818181818
bioinformatics,2016,4.242424242424242
bioinformatics,2017,4.47887323943662
bioinformatics,2018,3.8857142857142857
bioinformatics,2019,4.113207547169812
bioinformatics,2020,3.782608695652174
blockchain-basics,2018,4.5019607843137255
blockchain-basics,2019,4.577358490566038
blockchain-basics,2020,4.470389170896785
bootstrap-4,2017,4.844262295081967
bootstrap-4,2018,4.8545454545454545
bootstrap-4,2019,4.779220779220779
bootstrap-4,2020,4.812060301507538
brand,2018,4.892857142857143
brand,2019,4.950819672131147
brand,2020,4.889375684556407
bugs-101,2019,4.972972972972973
bugs-101,2020,4.959641255605381
build-a-computer,2016,4.772277227722772
build-a-computer,2017,4.91358024691358
build-a-computer,2018,4.963963963963964
build-a-computer,2019,4.885496183206107
build-a-computer,2020,4.885964912280702
building-modern-python-applications-on-aws,2020,5.0
business,2016,4.86875
business,2017,4.895161290322581
business,2018,4.894736842105263
business,2019,4.875
business,2020,4.873626373626373
business-english-intro,2016,4.685714285714286
business-english-intro,2017,4.8088235294117645
business-english-intro,2018,4.833333333333333
business-english-intro,2019,4.741176470588235
business-english-intro,2020,4.838028169014085
business-model,2016,4.8
business-model,2017,4.818181818181818
business-model,2018,4.846153846153846
business-model,2019,4.6
business-model,2020,4.681818181818182
business-transformation-google-cloud,2019,4.764705882352941
business-transformation-google-cloud,2020,4.7
c-for-everyone,2019,4.0
c-for-everyone,2020,4.548926014319809
c-plus-plus-white,2017,4.620253164556962
c-plus-plus-white,2018,4.8059701492537314
c-plus-plus-white,2019,4.784090909090909
c-plus-plus-white,2020,4.718181818181818
camino-excelencia-gestion-proyectos,2016,4.176470588235294
camino-excelencia-gestion-proyectos,2017,4.361290322580645
camino-excelencia-gestion-proyectos,2018,4.610441767068273
camino-excelencia-gestion-proyectos,2019,4.645244215938304
camino-excelencia-gestion-proyectos,2020,4.559139784946237
cancer,2016,4.644859813084112
cancer,2017,4.773972602739726
cancer,2018,4.708860759493671
cancer,2019,4.841379310344828
cancer,2020,4.848543689320389
careerdevelopment,2016,4.9
careerdevelopment,2017,4.952755905511811
careerdevelopment,2018,4.840336134453781
careerdevelopment,2019,4.875
careerdevelopment,2020,4.854501216545012
cats-and-dogs,2017,4.802197802197802
cats-and-dogs,2018,4.709090909090909
cats-and-dogs,2019,4.571428571428571
cats-and-dogs,2020,4.821428571428571
challenging-forensic-science,2019,4.947368421052632
challenging-forensic-science,2020,4.8125
change-management,2019,4.8
change-management,2020,4.26
chemicals-health,2016,4.8
chemicals-health,2017,4.545454545454546
chemicals-health,2018,5.0
chemicals-health,2019,4.928571428571429
chemicals-health,2020,4.790123456790123
child-development,2017,5.0
child-development,2018,4.833333333333333
child-development,2019,4.7272727272727275
child-development,2020,4.538461538461538
childnutrition,2015,4.735714285714286
childnutrition,2016,4.729847494553377
childnutrition,2017,4.809701492537314
childnutrition,2018,4.783783783783784
childnutrition,2019,4.790243902439024
childnutrition,2020,4.815899581589958
childrens-rights,2017,4.5064935064935066
childrens-rights,2018,4.7317073170731705
childrens-rights,2019,4.597222222222222
childrens-rights,2020,4.678082191780822
ciencia-computacao-python-conceitos,2016,5.0
ciencia-computacao-python-conceitos,2017,4.866666666666666
ciencia-computacao-python-conceitos,2018,4.895953757225434
ciencia-computacao-python-conceitos,2019,4.851063829787234
ciencia-computacao-python-conceitos,2020,4.870703764320786
classical-sociological-theory,2015,4.925
classical-sociological-theory,2016,4.822784810126582
classical-sociological-theory,2017,4.880597014925373
classical-sociological-theory,2018,4.882352941176471
classical-sociological-theory,2019,4.905405405405405
classical-sociological-theory,2020,4.852941176470588
classification-vector-spaces-in-nlp,2020,4.402439024390244
clinical-data-management,2016,4.3478260869565215
clinical-data-management,2017,4.839285714285714
clinical-data-management,2018,4.886363636363637
clinical-data-management,2019,4.733333333333333
clinical-data-management,2020,4.714285714285714
clinical-research,2015,4.4
clinical-research,2016,4.777777777777778
clinical-research,2017,4.7407407407407405
clinical-research,2018,4.823529411764706
clinical-research,2019,4.862745098039215
clinical-research,2020,4.870175438596491
clinical-terminology,2016,5.0
clinical-terminology,2017,4.76595744680851
clinical-terminology,2018,4.914285714285715
clinical-terminology,2019,4.794520547945205
clinical-terminology,2020,4.814814814814815
clinical-trials,2016,4.694915254237288
clinical-trials,2017,4.632183908045977
clinical-trials,2018,4.824561403508772
clinical-trials,2019,4.746835443037975
clinical-trials,2020,4.767195767195767
clinicalsimulations,2019,4.85
clinicalsimulations,2020,4.805084745762712
cloud-azure-intro,2020,4.285714285714286
cloud-infrastructure-design-process,2017,5.0
cloud-infrastructure-design-process,2018,4.6722689075630255
cloud-infrastructure-design-process,2019,4.6127659574468085
cloud-infrastructure-design-process,2020,4.690721649484536
communication-strategies-virtual-age,2018,4.666666666666667
communication-strategies-virtual-age,2019,4.444444444444445
communication-strategies-virtual-age,2020,4.8522458628841605
community-organizing,2020,4.53125
company-future-management,2016,4.75
company-future-management,2017,4.827586206896552
company-future-management,2018,4.82051282051282
company-future-management,2019,4.836734693877551
company-future-management,2020,4.853225806451613
competencias-digitales-ofimatica,2019,4.636363636363637
competencias-digitales-ofimatica,2020,4.791744840525328
competencias-lab,2017,4.578947368421052
competencias-lab,2018,3.9
competencias-lab,2019,4.384615384615385
competencias-lab,2020,4.371428571428571
computational-neuroscience,2016,4.8125
computational-neuroscience,2017,4.454545454545454
computational-neuroscience,2018,4.571428571428571
computational-neuroscience,2019,4.605263157894737
computational-neuroscience,2020,4.463414634146342
computational-thinking-problem-solving,2018,5.0
computational-thinking-problem-solving,2019,4.685483870967742
computational-thinking-problem-solving,2020,4.495652173913044
computer-networking,2018,4.536559139784946
computer-networking,2019,4.671806167400881
computer-networking,2020,4.644705882352941
construction-project-management,2016,4.7
construction-project-management,2017,4.685185185185185
construction-project-management,2018,4.770370370370371
construction-project-management,2019,4.828125
construction-project-management,2020,4.757894736842105
contabilidad,2016,4.529411764705882
contabilidad,2017,4.69140625
contabilidad,2018,4.756637168141593
contabilidad,2019,4.7441016333938295
contabilidad,2020,4.786440677966102
contact-tracing-for-covid-19,2020,4.796610169491525
containerized-apps-on-aws,2020,4.318181818181818
contemporary-art,2019,5.0
contemporary-art,2020,4.752577319587629
content-marketing,2017,4.206896551724138
content-marketing,2018,4.384615384615385
content-marketing,2019,4.377777777777778
content-marketing,2020,4.488338192419825
contracts-1,2019,4.8
contracts-1,2020,4.894736842105263
contrats,2016,4.75
contrats,2017,4.785714285714286
contrats,2018,4.875
contrats,2019,4.909090909090909
contrats,2020,4.861111111111111
conversational-experiences-dialogflow,2018,5.0
conversational-experiences-dialogflow,2019,4.066666666666666
conversational-experiences-dialogflow,2020,4.26775956284153
convolutional-neural-networks,2017,3.7468879668049793
convolutional-neural-networks,2018,3.816705336426914
convolutional-neural-networks,2019,3.8949152542372882
convolutional-neural-networks,2020,3.950920245398773
convolutional-neural-networks-tensorflow,2019,4.462046204620462
convolutional-neural-networks-tensorflow,2020,4.474206349206349
corp-sustainability,2018,4.625
corp-sustainability,2019,4.611111111111111
corp-sustainability,2020,4.640625
corporate-commercial-law-part1,2018,5.0
corporate-commercial-law-part1,2019,4.916666666666667
corporate-commercial-law-part1,2020,4.818181818181818
corporate-finance-essentials,2016,4.6923076923076925
corporate-finance-essentials,2017,4.829457364341085
corporate-finance-essentials,2018,4.868852459016393
corporate-finance-essentials,2019,4.814814814814815
corporate-finance-essentials,2020,4.913533834586466
corporatestrategy,2017,5.0
corporatestrategy,2018,4.814814814814815
corporatestrategy,2019,4.916666666666667
corporatestrategy,2020,4.880434782608695
correccion-estilo-variaciones,2016,4.857142857142857
correccion-estilo-variaciones,2017,4.71830985915493
correccion-estilo-variaciones,2018,4.7317073170731705
