course_title,course_organization,course_type,duration(h),course_language,course_rating,course_difficulty,instructor
" Real-time OCR and Text Detection with Tensorflow, OpenCV and Tesseract",Coursera Project Network,Split-screen video,2.0,English,3.8,Advanced,Charles Ivan Niswander II
 Storytelling With Data,Coursera Project Network,Split-screen video,1.0,English,3.8,Beginner,Shalini Gopalkrishnan 
 Strategically Build and Engage Your Network on LinkedIn ,Coursera Project Network,Split-screen video,2.0,English,4.5,Intermediate,Heidi Barker
 Supervised Learning: Classification,IBM,100% online,11.0,English,4.9,Intermediate,"Mark J Grover,Miguel Maldonado"
 System Administration and IT Infrastructure Services,Google,100% online,28.0,English,4.7,Beginner,Google Career CertificatesTop Instructor
" Tobacco Control: Agile Policy, Research and Practice ",Imperial College London,100% online,9.0,English,3.9,Beginner,"Anthony Laverty,Christopher Millett"
 Unsupervised Learning,IBM,100% online,9.0,English,4.8,Intermediate,"Mark J Grover,Miguel Maldonado"
Tutorial: Use Canva to Create Desktop and Mobile-friendly Web Pages,Coursera Project Network,Split-screen video,2.0,English,4.8,Mixed,Chaitra Deshpande
 Visualización Avanzada de datos con Python,Coursera Project Network,Split-screen video,2.0,Spanish,4.1,Intermediate,Leire Ahedo
 Web page creation by editing a template in GitHub,Coursera Community Project Network,Split-screen video,1.0,English,3.0,Intermediate,Saheli Basu
 perform an A/B Test for an ad campaign using python,Coursera Project Network,Split-screen video,2.0,English,2.6,Beginner,Mohanad Ayman Affify
 Закон стартапа: юридические основы технологического бизнеса	,Moscow Institute of Physics and Technology,100% online,9.0,Russian,5.0,Intermediate,Янковский Роман Михайлович
 Китайский язык: пять шагов к успеху. Часть 4,Saint Petersburg State University,100% online,14.0,Russian,4.8,Beginner,"Власова Наталья Николаевна,Колпачкова Елена Николаевна,Лю Лимэй,Цяо Пэн"
 Китайский язык: пять шагов к успеху. Часть 5,Saint Petersburg State University,100% online,14.0,Russian,3.3,Beginner,"Колпачкова Елена Николаевна,Власова Наталья Николаевна,Лю Лимэй,Цяо Пэн"
 Международное трудовое право,Saint Petersburg State University,100% online,14.0,Russian,2.9,Mixed,"Jean-Michel Servais,Bas Rombouts ,Сыченко Елена Вячеславовна "
 Русский как иностранный: B1+. Часть 2. Russian as a foreign language. B1+. Part 2.,Saint Petersburg State University,100% online,77.0,Russian,4.2,Intermediate,"Рогова Кира Анатольевна,Колесова Дарья Владимировна,Хорохордина Ольга Витальевна,Гончар Ирина Александровна,Попова Татьяна Игоревна"
 التسويق للشركات  والمشاريع الصغيرة عبر موقع يوتيوب,Coursera Project Network,Split-screen video,2.0,Arabic,4.3,Beginner,Lamia Labello
 بناء Backend لنسخة من Twitter,Coursera Project Network,Split-screen video,1.0,Arabic,2.0,Beginner,Paul Ashraf
 تصميم قاعدة البيانات باستخدام SQL Server Management Studio,Coursera Project Network,Split-screen video,2.0,Arabic,3.0,Beginner,Ali Amr Souidan
 تعلم C عن طريق عمل Array-based Stack,Coursera Project Network,Split-screen video,1.0,Arabic,3.2,Beginner,Mohamed Omar
"""Making"" Progress Teach-Out",Emory University,Flexible deadlines,6.0,English,4.3,Beginner,Pablo Palomino
#talkmentalillness,University of Colorado Boulder,100% online,14.0,English,3.5,Mixed,June Gruber
(Business Writing) الكتابة في مجال الأعمال,University of Colorado Boulder,100% online,11.0,Arabic,4.8,Beginner,Dr. Quentin McAndrew
(Giving Helpful Feedback) إعطاء الملاحظات المفيدة,University of Colorado Boulder,100% online,5.0,Arabic,4.8,Mixed,Tracy Jennings
(Non) Status quo Attitudes with NetLogo,Coursera Project Network,Split-screen video,2.0,English,2.1,Intermediate,Danilo Oliveira Vaz
(Successful Presentation) العرض التقديمي الناجح,University of Colorado Boulder,100% online,16.0,Arabic,4.8,Beginner,Professor William Kuskin
.Net平台下的软件开发技术毕业项目,Xi'an Jiaotong University,100% online,10.0,Chinese (Simplified),3.2,Mixed,"吴 宁,谢涛"
1.- El Cálculo - Modelo Lineal,Tecnológico de Monterrey,100% online,16.0,Spanish,4.8,Mixed,Dra. Patricia Salinas MartínezTop Instructor
1C:Enterprise Junior Developer Course,Moscow Institute of Physics and Technology,100% online,12.0,English,4.7,Mixed,Anton Shviykovskiy
1E Test: How Computers Work,Coursera,Flexible deadlines,24.0,English,4.6,Mixed,Dr Marco Gillies
2.- El Cálculo - Modelo Cuadrático,Tecnológico de Monterrey,100% online,17.0,Spanish,4.8,Mixed,Dra. Patricia Salinas MartínezTop Instructor
20世纪西方音乐 Western Music in the 20th Century,Peking University,100% online,14.0,Chinese (Simplified),4.3,Beginner,毕明辉 Bryan Minghui BI
3-Axis Machining with Autodesk Fusion 360,Autodesk,100% online,28.0,English,4.9,Advanced,Autodesk
3.- El Cálculo - Modelo Cúbico,Tecnológico de Monterrey,100% online,15.0,Spanish,4.8,Mixed,Dra. Patricia Salinas MartínezTop Instructor
3D Art and Audio Pipeline,Unity,100% online,9.0,English,4.4,Intermediate,"Jeremy Gibson Bond,Unity Technologies"
3D CAD Application,National Taiwan University,100% online,9.0,English,4.9,Intermediate,康仕仲
3D CAD Fundamental,National Taiwan University,100% online,9.0,English,4.7,Beginner,康仕仲
3D Data Visualization for Science Communication,University of Illinois at Urbana-Champaign,100% online,32.0,English,3.8,Beginner,"Kalina Borkiewicz,AJ Christensen"
3D Graphics in Android: Sensors and VR,Imperial College London,100% online,28.0,English,4.5,Mixed,Benny Lo
3D Interactions and Navigation,Unity,100% online,12.0,English,4.5,Intermediate,"Jeremy Gibson Bond,Unity Technologies"
3D Model Creation with Autodesk Fusion 360,Autodesk,100% online,15.0,English,4.8,Advanced,Autodesk
3D Printing Applications,University of Illinois at Urbana-Champaign,100% online,20.0,English,4.6,Beginner,Vishal Sachdev
3D Printing Capstone,University of Illinois at Urbana-Champaign,100% online,6.0,English,4.5,Mixed,Alex Larson
3D Printing Hardware,University of Illinois at Urbana-Champaign,100% online,31.0,English,4.2,Mixed,"Matthew Griffin,Alex Larson"
3D Printing Software,University of Illinois at Urbana-Champaign,100% online,15.0,English,4.6,Beginner,Jeffrey Smith
3D SARS-CoV-19 Protein Visualization With Biopython,Coursera Project Network,Split-screen video,2.0,English,4.5,Intermediate,Bhagesh Hunakunti
3D-печать для всех и каждого,National Research Tomsk State University,100% online,8.0,Russian,4.7,Mixed,Николай Георгиевич Булахов (Nikolay G. Bulakhov)
4.- El Cálculo - Otros Modelos,Tecnológico de Monterrey,100% online,11.0,Spanish,4.7,Mixed,Dra. Patricia Salinas MartínezTop Instructor
5 Metodos para Optimizar su Perfil de LinkedIn,Coursera Project Network,Split-screen video,2.0,Spanish,4.2,Intermediate,Natali Esteves
