nombre_curso,nivel_del_curso,horas_dedicadas,duracion_del_curso(Semanas),lenguaje,precio(USD),organizacion,cant_estudiantes
Europe Without Borders?…,Intermedio,2–3 hours per week,4,Ingles,99.0,University of Hong Kong,45365
Caligrafía y paleografía:espacios históricos parasu estudio y práctica…,Intermedio,5–7 hours per week,6,Español,29.0,Universidad Carlos III de Madrid,5386
"Visualizing PostwarTokyo, Part 1…",Principiante,5–6 hours per week,6,Ingles,49.0,The University of Tokyo,16116
Interdisciplinary Teachingwith Museum Objects…,Principiante,1–2 hours per week,14,Ingles,49.99,The Smithsonian Institution,45365
The Spain of Don Quixote…,Principiante,4–5 hours per week,7,Ingles,29.0,Universidad Autónoma de Madrid,45365
Negotiating a ChangingWorld: 1920-1950…,Intermedio,2–3 hours per week,10,Ingles,50.0,Columbia University,45365
Evolution of the HumanSociality: A Quest for theOrigin of Our Social Beh……,Principiante,2–3 hours per week,6,Ingles,49.0,Kyoto University,14325
Antes de Noé: El diluvioen la Antigua Babilonia…,Principiante,5–6 hours per week,5,Español,29.0,Universidad Nacional de Córdoba,45365
Teaching HistoricalInquiry with Objects…,Principiante,1–3 hours per week,6,Ingles,50.0,The Smithsonian Institution,6948
Living at the NuclearBrink…,Principiante,1–4 hours per week,10,Ingles,50.0,Stanford University,45365
Historia económicaargentina: avatares de unsistema monetario…,Principiante,5–7 hours per week,4,Español,50.0,Universidad Nacional de Córdoba,45365
Introduction to MaoZedong Thought | 毛泽东思想概论…,Principiante,2–3 hours per week,4,Chino,49.0,Tsinghua University,8683
Wage Work for WomenCitizens: 1870-1920…,Intermedio,2–3 hours per week,10,Ingles,50.0,Columbia University,45365
Changing Minds:Geographic Discoveriesand New Worlds throug……,Avanzado,1–2 hours per week,5,Ingles,29.0,University of Pennsylvania,45365
中国古代礼义文明 | China’s AncientRitual Civilization…,Principiante,2–3 hours per week,10,Chino,139.0,Tsinghua University,45365
Del trazo caligráfico almétodo paleográfico:experimentando la mat……,Avanzado,4–6 hours per week,6,Español,29.0,Universidad Carlos III de Madrid,45365
"Disease, Climate Shocks,and Wellbeing: a LongHistory of Social Respo……",Principiante,4–5 hours per week,4,Ingles,29.0,Massachusetts Institute of Technology,45365
"Historia global de laarquitectura islámica:espacio, ciudad, arte…",Principiante,4–6 hours per week,4,Español,49.0,Universidad del Rosario,45365
"Policy for Science,Technology andInnovation…",Intermedio,3–5 hours per week,8,Ingles,149.0,Massachusetts Institute of Technology,45365
Storia Economica…,Principiante,4–6 hours per week,10,Italiano,60.0,Università degli Studi di Napoli Federico II,45365
"Visualizing PostwarTokyo, Part 2…",Principiante,5–6 hours per week,6,Ingles,49.0,The University of Tokyo,8585
Star Trek: InspiringCulture and Technology II…,Principiante,1–3 hours per week,6,Ingles,40.0,The Smithsonian Institution,45365
Sheep in the Land of Fireand Ice…,Principiante,1–2 hours per week,3,Ingles,50.0,The University of Iceland,45365
La costruzione dell'Italia…,Principiante,6–8 hours per week,8,Italiano,60.0,Università degli Studi di Napoli Federico II,45365
The Tabernacle in Word &Image: An Italian JewishManuscript Revealed…,Avanzado,1–2 hours per week,5,Ingles,29.0,University of Pennsylvania,45365
Star Trek: InspiringCulture and TechnologyIII…,Principiante,1–3 hours per week,5,Ingles,40.0,The Smithsonian Institution,45365
Introduction to theTheoretical System ofSocialism with Chinese……,Principiante,2–3 hours per week,8,Chino,149.0,Tsinghua University,45365
"Letteratura latina, dalleorigini all'età augustea…",Principiante,4–6 hours per week,6,Italiano,60.0,Università degli Studi di Napoli Federico II,45365
Foundations forTransforming Teachingand Learning about Nati……,Principiante,1–2 hours per week,4,Ingles,49.99,The Smithsonian Institution,45365
First Nights - Beethoven's9th Symphony and the19th Century Orchestra…,Principiante,3–5 hours per week,3,Ingles,49.0,Harvard University,38059
Noongar Language andCulture…,Principiante,2–3 hours per week,6,Ingles,139.0,Curtin University,11203
Arctic SecurityFundamentals…,Intermedio,3–4 hours per week,6,Ingles,139.0,University of Alaska Fairbanks,45365
Invitation to The Tale ofGenji: The FoundationalElements of Japanese C……,Intermedio,4–5 hours per week,4,Ingles,49.0,Waseda University,45365
"US-China Relations: Past,Present and Future…",Principiante,2–3 hours per week,4,Ingles,99.0,The National University of Singapore,45365
The Korean Story :Secrets of an EconomicMiracle…,Intermedio,4–6 hours per week,11,Ingles,49.0,SDG Academy,45365
Sorting Truth FromFiction: Civic OnlineReasoning…,Principiante,2–4 hours per week,9,Ingles,49.0,Massachusetts Institute of Technology,45365
Comisión de la VerdadColombia…,Principiante,7–10 hours per week,5,Español,29.0,Pontificia Universidad Javeriana,45365
Engineering the SpaceShuttle…,Intermedio,4–5 hours per week,12,Ingles,75.0,Massachusetts Institute of Technology,45365
First Nights - Handel'sMessiah and BaroqueOratorio…,Principiante,3–5 hours per week,3,Ingles,49.0,Harvard University,45365
Introduction to Kabbalah…,Principiante,3–5 hours per week,5,Ingles,49.0,IsraelX,45365
Visualizing the Birth ofModern Tokyo…,Principiante,1–3 hours per week,4,Ingles,49.0,Massachusetts Institute of Technology,45365
"Jazz: The Music, TheStories, The Players…",Principiante,3–4 hours per week,4,Ingles,50.0,Hamilton College,45365
The Meaning of Rome:The Renaissance andBaroque City…,Intermedio,4–6 hours per week,6,Ingles,50.0,University of Notre Dame,45365
The World History ofModern Wine…,Principiante,2–5 hours per week,6,Ingles,50.0,Trinity College,45365
Global Muckraking:Investigative Journalismand Global Media…,Principiante,3–5 hours per week,5,Ingles,49.0,Columbia University,45365
Saving Schools:Reforming the U.S.Education System…,Principiante,3–5 hours per week,10,Ingles,99.0,Harvard University,45365
"Invasions, Rebellions, andthe Fall of Imperial China…",Principiante,1–3 hours per week,15,Ingles,99.0,Harvard University,41742
The Science of Religion…,Principiante,2–3 hours per week,6,Ingles,49.0,University of British Columbia,45365
Ideas of the TwentiethCentury…,Principiante,4–6 hours per week,4,Ingles,50.0,The University of Texas at Austin,45365
Introduction to ItalianOpera…,Principiante,3–4 hours per week,4,Ingles,49.0,Dartmouth College,45365
Interpreting VernacularArchitecture in Asia…,Principiante,2–3 hours per week,6,Ingles,50.0,University of Hong Kong,45365
Biblical Archaeology: Thearchaeology of ancientIsrael and Judah…,Principiante,3–4 hours per week,8,Ingles,49.0,IsraelX,45365
Introduction to HumanEvolution…,Principiante,4–6 hours per week,4,Ingles,50.0,Wellesley College,45365
Housing and Cities…,Intermedio,2–3 hours per week,10,Ingles,139.0,École polytechnique fédérale de Lausanne,45365
International Politics inthe Korean Peninsula…,Principiante,1–2 hours per week,4,Coreano,49.0,Seoul National University,45365
The Civil War andReconstruction –1865-1890: The Unfinis……,Intermedio,6–8 hours per week,15,Ingles,50.0,Columbia University,45365
Creating a Digital CulturalHeritage Community…,Intermedio,2–5 hours per week,8,Ingles,49.0,KU Leuven,45365
日本文化艺术专题 | JapaneseCulture and Art…,Principiante,1–2 hours per week,16,Chino,49.0,Peking University,45365
Mawlana Jalal-UddinBalkhi - Rumi: TheGreatest Mystic Poet of……,Principiante,4–6 hours per week,6,Ingles,45.0,AfghanX,45365
China Humanities: TheIndividual in ChineseCulture…,Principiante,2–4 hours per week,8,Ingles,99.0,Harvard University,45365
Democracy andDevelopment:Perspectives from Africa…,Principiante,3–4 hours per week,9,Ingles,49.0,Massachusetts Institute of Technology,45365
New Zealand Landscapeas Culture: Wai (Water)…,Principiante,3–5 hours per week,4,Ingles,50.0,Victoria University of Wellington,45365
JuryX: Deliberations forSocial Change…,Principiante,2–3 hours per week,7,Ingles,75.0,Harvard University,45365
"U.S. Government -Foundations, Democracy& Politics…",Principiante,2–3 hours per week,6,Ingles,49.0,Purdue University,45365
Introduction to GermanOpera…,Principiante,3–4 hours per week,4,Ingles,49.0,Dartmouth College,45365
Casing the Joint:Introducing Histories ofAustralian Crime…,Intermedio,1–2 hours per week,3,Ingles,49.0,"The University of Newcastle, Australia",45365
"Oscar Wilde, écrivain etpenseur du langage…",Principiante,4–6 hours per week,6,Frances,50.0,Sorbonne Université,45365
Antarctica: From Geologyto Human History…,Principiante,2–5 hours per week,5,Ingles,49.0,Victoria University of Wellington,45365
"Visualizing Imperialism &the Philippines,1898-1913…",Intermedio,1–4 hours per week,19,Ingles,49.0,Massachusetts Institute of Technology,45365
"International Politics inthe Korean Peninsula,Part 1…",Principiante,4–5 hours per week,8,Ingles,49.0,Seoul National University,45365
Oriental Beliefs: BetweenReason and Traditions…,Principiante,2–3 hours per week,8,Ingles,50.0,Université catholique de Louvain,45365
The Book: Scrolls in theAge of the Book…,Principiante,2–4 hours per week,6,Ingles,70.0,Harvard University,45365
History of ChineseCostumes|中国服饰七千年…,Principiante,3–6 hours per week,12,Chino,49.0,Tsinghua University,45365
Democratic toAuthoritarian Rule…,Principiante,3–4 hours per week,1,Ingles,25.0,The University of Michigan,45365
The Presidency and theShape of the SupremeCourt…,Principiante,3–4 hours per week,5,Ingles,50.0,Trinity College,45365
Critical Issues in UrbanEducation…,Principiante,2–5 hours per week,4,Ingles,50.0,University of Chicago,45365
中国古代史（大学先修课) | AncientHistory of China…,Principiante,4–6 hours per week,4,Chino,49.0,Peking University,45365
Shakespeare on the Pageand in Performance:Young Love…,Principiante,4–5 hours per week,3,Ingles,49.0,Wellesley College,45365
New Zealand Landscapeas Culture: Maunga(Mountains)…,Principiante,2–4 hours per week,4,Ingles,49.0,Victoria University of Wellington,45365
New Zealand Landscapeas Culture: Motu(Islands)…,Principiante,2–4 hours per week,4,Ingles,49.0,Victoria University of Wellington,45365
Deciphering Secrets:Unlocking theManuscripts of Medieva……,Principiante,2–3 hours per week,7,Ingles,50.0,Universidad Carlos III de Madrid,45365
A History of Violence:From the Middle Ages toModern Times…,Principiante,2–3 hours per week,6,Ingles,49.0,"The University of Newcastle, Australia",45365
Western Civilization:Ancient and MedievalEurope…,Principiante,18–20 hours per week,8,Ingles,49.0,Arizona State University,45365
A History of EuropeanEmpires: 1400–1522…,Principiante,2–3 hours per week,3,Ingles,49.0,"The University of Newcastle, Australia",45365
"Fairy Tales: Meanings,Messages, and Morals…",Principiante,2–3 hours per week,3,Ingles,49.0,"The University of Newcastle, Australia",45365
A Global History ofArchitecture…,Principiante,7–9 hours per week,12,Ingles,49.0,Massachusetts Institute of Technology,45365
Science & Cooking: FromHaute Cuisine to SoftMatter Science (chemis……,Principiante,2–3 hours per week,16,Ingles,169.0,Harvard University,150198
Backyard Meteorology:The Science of Weather…,Principiante,3–5 hours per week,6,Ingles,149.0,Harvard University,66105
Calculus Applied!…,Intermedio,3–6 hours per week,10,Ingles,139.0,Harvard University,58289
Introduction toAerospace Structuresand Materials…,Principiante,4–6 hours per week,8,Ingles,50.0,Delft University of Technology,38685
Solar Energy…,Principiante,6–8 hours per week,8,Ingles,50.0,Delft University of Technology,126331
Science & Cooking: FromHaute Cuisine to SoftMatter Science (physics)…,Principiante,2–3 hours per week,16,Ingles,169.0,Harvard University,64852
Mechanics: Kinematicsand Dynamics…,Intermedio,10–12 hours per week,12,Ingles,49.0,Massachusetts Institute of Technology,37087
Astronomía Virtual…,Principiante,5–7 hours per week,7,Español,29.0,Universidad Nacional de Córdoba,11481
AP Physics 1…,Principiante,3–4 hours per week,18,Ingles,49.0,Rice University,44595
Astrophysics: Cosmology…,Intermedio,2–4 hours per week,10,Ingles,50.0,Australian National University,84311
Greatest UnsolvedMysteries of the Universe…,Intermedio,2–4 hours per week,9,Ingles,50.0,Australian National University,94949
Introduction toAstrophysics…,Principiante,3–4 hours per week,7,Ingles,139.0,École polytechnique fédérale de Lausanne,21626
University Chemistry:Molecular Foundationsand Global Frontiers Par……,Principiante,3–6 hours per week,24,Ingles,199.0,Harvard University,45365
The Hardware of aQuantum Computer…,Intermedio,6–8 hours per week,6,Ingles,149.0,Delft University of Technology,20712
Thermodynamics ofMaterials…,Intermedio,9–12 hours per week,16,Ingles,150.0,Massachusetts Institute of Technology,45365
Animation and CGIMotion…,Avanzado,8–10 hours per week,12,Ingles,249.0,Columbia University,37400
Astrophysics: The ViolentUniverse…,Intermedio,2–4 hours per week,10,Ingles,50.0,Australian National University,66109
"Diseña, fabrica yprograma tu propio robot…",Principiante,8–10 hours per week,6,Español,75.0,Universitat Politècnica de Valencia,25410
Mechanics: Momentumand Energy…,Intermedio,10–12 hours per week,14,Ingles,49.0,Massachusetts Institute of Technology,15311
Sustainable SoilManagement: Soil for life…,Principiante,8–10 hours per week,7,Ingles,49.0,Wageningen University & Research,22786
"Architecture, Algorithms,and Protocols of aQuantum Computer and……",Intermedio,6–8 hours per week,6,Ingles,149.0,Delft University of Technology,8748
Synthetic Aperture Radar:Hazards…,Intermedio,4–6 hours per week,6,Ingles,199.0,University of Alaska Fairbanks,45365
From Atoms to Stars:How Physics Explains OurWorld…,Intermedio,2–3 hours per week,4,Ingles,49.0,National Research Nuclear University,16227
Mechanics: RotationalDynamics…,Intermedio,10–12 hours per week,12,Ingles,49.0,Massachusetts Institute of Technology,13553
Astrophysics: ExploringExoplanets…,Intermedio,2–4 hours per week,9,Ingles,50.0,Australian National University,48823
The Quantum Internetand Quantum Computers:How Will They Change t……,Principiante,2–3 hours per week,6,Ingles,50.0,Delft University of Technology,15421
Mechanics: SimpleHarmonic Motion…,Intermedio,10–12 hours per week,8,Ingles,49.0,Massachusetts Institute of Technology,45365
Fundamentos deMecánica para Ingeniería…,Principiante,3–4 hours per week,6,Español,49.0,Universitat Politècnica de Valencia,14515
Solar Energy Engineering:Comprehensive Exams…,Avanzado,4–6 hours per week,8,Ingles,250.0,Delft University of Technology,45365
AP® Physics 1:Challenging Concepts…,Principiante,2–4 hours per week,8,Ingles,49.0,Davidson Next,12453
"Cosmic Rays, DarkMatter, and the Mysteriesof the Universe…",Intermedio,3–5 hours per week,4,Ingles,49.0,Waseda University,12983
"Fundamentals ofBiomedical Imaging:Ultrasounds, X-ray, posit……",Avanzado,4–5 hours per week,7,Ingles,169.0,École polytechnique fédérale de Lausanne,10539
Question Everything:Scientific Thinking in RealLife…,Principiante,2–4 hours per week,8,Ingles,59.0,The University of Queensland,34396
Introducción a lagravedad cuántica delazos…,Principiante,5–7 hours per week,5,Español,50.0,Universidad Nacional de Córdoba,7521
Fundamentos deElectromagnetismo paraIngeniería…,Principiante,4–5 hours per week,7,Español,49.0,Universitat Politècnica de Valencia,15239
Understanding NuclearEnergy…,Intermedio,4–6 hours per week,6,Ingles,50.0,Delft University of Technology,16168
Hypersonics – fromShock Waves toScramjets…,Avanzado,4–8 hours per week,4,Ingles,99.0,The University of Queensland,19196
Quantum Mechanics ofMolecular Structures…,Intermedio,5–6 hours per week,6,Ingles,49.0,The University of Tokyo,21913
Stochastic Processes:Data Analysis andComputer Simulation…,Intermedio,2–3 hours per week,6,Ingles,49.0,Kyoto University,16988
Plasma Physics:Introduction…,Intermedio,5–6 hours per week,8,Ingles,169.0,École polytechnique fédérale de Lausanne,13805
Introducción a las ondasgravitacionales…,Principiante,5–7 hours per week,4,Español,50.0,Universidad Nacional de Córdoba,8792
Fundamentals ofBiomedical Imaging:Magnetic Resonance Im……,Avanzado,4–5 hours per week,6,Ingles,169.0,École polytechnique fédérale de Lausanne,9317
Cement Chemistry andSustainable CementitiousMaterials…,Intermedio,3–4 hours per week,6,Ingles,199.0,École polytechnique fédérale de Lausanne,6015
Plasmonics: FromFundamentals to ModernApplications…,Avanzado,4–6 hours per week,5,Ingles,139.0,ITMO University,5694
"Energías convencionales,limpias y su tecnología…",Intermedio,4–5 hours per week,7,Español,29.0,Tecnológico de Monterrey,6785
Remote Sensing ofWildfires…,Principiante,3–5 hours per week,4,Ingles,99.0,University of Alaska Fairbanks,45365
水力学 | Hydraulics…,Principiante,3–4 hours per week,10,Chino,49.0,Tsinghua University,9875
Nuclear Reactor PhysicsBasics…,Intermedio,2–3 hours per week,6,Ingles,49.0,National Research Nuclear University,8068
Complex Analysis…,Intermedio,6–12 hours per week,7,Ingles,49.0,NUST MISIS,45365
Neuronal Dynamics…,Avanzado,5–7 hours per week,7,Ingles,139.0,École polytechnique fédérale de Lausanne,17446
AP® Physics 2:Challenging Concepts…,Principiante,2–4 hours per week,9,Ingles,49.0,Davidson Next,10664
"Mechanics, Part 2…",Intermedio,4–6 hours per week,6,Ingles,169.0,Rice University,45365
Introduction àl'astrophysique…,Intermedio,3–4 hours per week,7,Frances,139.0,École polytechnique fédérale de Lausanne,11915
L’eau et les sols -Hydrodynamique desmilieux poreux…,Avanzado,4–7 hours per week,12,Frances,50.0,Université catholique de Louvain,5161
Plasma Physics:Applications…,Intermedio,5–6 hours per week,10,Ingles,169.0,École polytechnique fédérale de Lausanne,6531
Basic Concepts ofInternational Nuclear Law…,Principiante,2–5 hours per week,5,Ingles,49.0,National Research Nuclear University,45365
Fundamentos deOscilaciones y Ondaspara Ingeniería…,Principiante,3–4 hours per week,5,Español,49.0,Universitat Politècnica de Valencia,45365
"Energía: pasado, presentey futuro…",Intermedio,5–6 hours per week,7,Español,29.0,Tecnológico de Monterrey,45365
La Reforma Energética deMéxico y susoportunidades…,Intermedio,4–5 hours per week,7,Español,29.0,Tecnológico de Monterrey,45365
La nueva industriaeléctrica en México…,Principiante,4–5 hours per week,7,Español,29.0,Tecnológico de Monterrey,45365
Introduction to theTheory ofFerromagnetism…,Intermedio,2–6 hours per week,7,Ingles,49.0,National Research Nuclear University,45365
Fisica I con laboratorio…,Principiante,4–6 hours per week,6,Italiano,60.0,Università degli Studi di Napoli Federico II,45365
Nuclear Facilities:Regulations andLicensing…,Intermedio,2–5 hours per week,6,Ingles,49.0,National Research Nuclear University,45365
Surface Science:Methods of SurfaceAnalysis…,Intermedio,2–3 hours per week,8,Ingles,49.0,National Research Nuclear University,45365
La fisica:dall'elettromagnetismoall'ottica…,Intermedio,6–8 hours per week,6,Italiano,60.0,Università degli Studi di Napoli Federico II,45365
Основы физикиполупроводников иэлектроники…,Principiante,2–8 hours per week,7,Ruso,49.0,National Research Nuclear University,45365
Квантовая механика.Часть 1. Принципыквантовой механики…,Principiante,8–16 hours per week,12,Ruso,49.0,National Research Nuclear University,45365
Физическаякристаллография…,Principiante,12–22 hours per week,10,Ruso,49.0,National Research Nuclear University,45365
Лазеры: физическиеосновы и лазерныетехнологии…,Intermedio,3–6 hours per week,5,Ruso,49.0,National Research Nuclear University,45365
"Ядерноенераспространение:правовые аспекты, осн……",Principiante,1–6 hours per week,10,Ruso,49.0,National Research Nuclear University,45365
Тяжелые ионы и синтезновых элементов:современные тенденц……,Intermedio,3–6 hours per week,5,Ruso,49.0,National Research Nuclear University,45365
DNA and Atoms: TheSecret of Life…,Principiante,4–5 hours per week,4,Ingles,49.0,Seoul National University,8496
Solar Energy:Photovoltaic (PV)Systems…,Avanzado,10–11 hours per week,11,Ingles,250.0,Delft University of Technology,24155
Quantum Mechanics forEveryone…,Principiante,7–10 hours per week,6,Ingles,69.0,Georgetown University,38157
Solar Energy: Integrationof Photovoltaic Systemsin Microgrids…,Avanzado,10–11 hours per week,9,Ingles,250.0,Delft University of Technology,20427
Transfer Functions andthe Laplace Transform…,Intermedio,3–6 hours per week,10,Ingles,100.0,Massachusetts Institute of Technology,13842
Solar Energy:Photovoltaic (PV)Technologies…,Avanzado,10–11 hours per week,11,Ingles,250.0,Delft University of Technology,20249
Differential Equations:Fourier Series and PartialDifferential Equations…,Intermedio,5–8 hours per week,11,Ingles,75.0,Massachusetts Institute of Technology,14869
Differential Equations:Linear Algebra and NxNSystems of Differential……,Intermedio,5–8 hours per week,12,Ingles,75.0,Massachusetts Institute of Technology,15402
Analysis of TransportPhenomena II:Applications…,Avanzado,10–12 hours per week,17,Ingles,149.0,Massachusetts Institute of Technology,45365
The Basics of TransportPhenomena…,Principiante,6–8 hours per week,7,Ingles,50.0,Delft University of Technology,25103
Advanced TransportPhenomena…,Intermedio,8–10 hours per week,6,Ingles,50.0,Delft University of Technology,45365
Quantum Networking…,Intermedio,6–9 hours per week,5,Ingles,750.0,Purdue University,45365
Quantum Detectors andSensors…,Avanzado,6–9 hours per week,15,Ingles,2250.0,Purdue University,45365
Quantum Detectors…,Avanzado,6–9 hours per week,5,Ingles,750.0,Purdue University,45365
Introduction to theModern Nanotechnology…,Principiante,2–3 hours per week,8,Ingles,49.0,National Research Nuclear University,45365
Мощные лазеры илазерныйтермоядерный синтез…,Principiante,2–3 hours per week,6,Ruso,49.0,National Research Nuclear University,45365
Advanced FluidMechanics:Fundamentals…,Avanzado,8–12 hours per week,6,Ingles,99.0,Massachusetts Institute of Technology,45365
Physics of COVID-19Transmission…,Avanzado,5–10 hours per week,6,Ingles,49.0,Massachusetts Institute of Technology,45365
Big Bang and the Originof Chemical Elements…,Principiante,4–5 hours per week,4,Ingles,49.0,Seoul National University,6208
Quantum Mechanics andQuantum Computation…,Intermedio,5–12 hours per week,10,Ingles,49.0,"University of California, Berkeley",45365
Quantum Mechanics: AFirst Course…,Avanzado,10–15 hours per week,18,Ingles,149.0,Massachusetts Institute of Technology,45365
Modeling and simulationof multibody systems…,Intermedio,10–11 hours per week,14,Ingles,50.0,Université catholique de Louvain,45365
Super-Earths and Life…,Principiante,3–5 hours per week,15,Ingles,99.0,Harvard University,45365
Engineering Mechanics…,Intermedio,4–5 hours per week,9,Ingles,49.0,Ural Federal University,45365
Analysis of TransportPhenomena I:Mathematical Methods…,Avanzado,10–12 hours per week,17,Ingles,149.0,Massachusetts Institute of Technology,9603
Electricity andMagnetism: Maxwell’sEquations…,Intermedio,11–13 hours per week,10,Ingles,49.0,Massachusetts Institute of Technology,45365
Electricity andMagnetism:Electrostatics…,Intermedio,11–13 hours per week,10,Ingles,49.0,Massachusetts Institute of Technology,45365
"Quantum InformationScience I, Part 1…",Intermedio,11–13 hours per week,5,Ingles,49.0,Massachusetts Institute of Technology,45365
Thermodynamics…,Intermedio,8–10 hours per week,12,Ingles,50.0,IITBombay,45365
Materials Science andEngineering…,Intermedio,3–5 hours per week,7,Ingles,49.0,NUST MISIS,45365
On-Ramp to AP* PhysicsC: Mechanics…,Principiante,1–2 hours per week,2,Ingles,25.0,Weston High School,45365
Space Mission Designand Operations…,Intermedio,2–4 hours per week,8,Ingles,50.0,École polytechnique fédérale de Lausanne,45365
Vibrations and Waves…,Intermedio,12–15 hours per week,18,Ingles,99.0,Massachusetts Institute of Technology,45365
"Question Reality! Science,philosophy, and thesearch for meaning…",Principiante,2–4 hours per week,6,Ingles,49.0,Dartmouth College,45365
SemiconductorFundamentals…,Avanzado,8–9 hours per week,6,Ingles,750.0,Purdue University,45365
Differential Equations:2x2 Systems…,Intermedio,2–5 hours per week,8,Ingles,75.0,Massachusetts Institute of Technology,11110
Electricity andMagnetism: MagneticFields and Forces…,Intermedio,11–13 hours per week,8,Ingles,49.0,Massachusetts Institute of Technology,45365
Introduction to QuantumScience & Technology…,Intermedio,7–10 hours per week,16,Ingles,2250.0,Purdue University,45365
"Mechanics, Part 1…",Intermedio,4–6 hours per week,6,Ingles,169.0,Rice University,45365
Quantum Cryptography…,Avanzado,6–8 hours per week,10,Ingles,50.0,"Caltech, Delft University of Technology",45365
Introduction toEngineering…,Principiante,4–6 hours per week,8,Ingles,49.0,University of Texas at Arlington,45365
AP® Physics 2 - Part 1:Fluids andThermodynamics…,Principiante,2–4 hours per week,4,Ingles,49.0,Rice University,45365
Sustainable Energy:Design a RenewableFuture…,Intermedio,6–8 hours per week,9,Ingles,50.0,Delft University of Technology,45365
Introduction toEngineering Mathematicswith Applications…,Principiante,4–6 hours per week,8,Ingles,49.0,University of Texas at Arlington,45365
"Quantum Mechanics:Wavefunctions,Operators, and Expectat……",Avanzado,12–14 hours per week,7,Ingles,49.0,Massachusetts Institute of Technology,45365
AP® Physics 1 - Part 1:Linear Motion…,Principiante,3–5 hours per week,4,Ingles,49.0,Rice University,45365
Principle ofSemiconductor DevicesPart II: Field Effect Tran……,Intermedio,4–5 hours per week,7,Ingles,60.0,The Hong Kong University of Science and Technology,45365
Quantum Mechanics:Quantum physics in 1DPotentials…,Avanzado,12–14 hours per week,7,Ingles,49.0,Massachusetts Institute of Technology,45365
Math in Sports…,Principiante,4–6 hours per week,4,Ingles,50.0,University of Notre Dame,45365
Graphene Science andTechnology…,Avanzado,6–10 hours per week,8,Ingles,49.0,Chalmers University of Technology,45365
Fiber OpticCommunications…,Avanzado,7–9 hours per week,5,Ingles,750.0,Purdue University,45365
Topology in CondensedMatter: Tying QuantumKnots…,Intermedio,3–6 hours per week,12,Ingles,50.0,Delft University of Technology,45365
Genomic Medicine GetsPersonal…,Principiante,6–10 hours per week,4,Ingles,25.0,Georgetown University,45365
Applications of QuantumMechanics…,Avanzado,12–16 hours per week,19,Ingles,99.0,Massachusetts Institute of Technology,45365
"Electricity andMagnetism, Part 1…",Principiante,8–10 hours per week,7,Ingles,49.0,Rice University,45365
Global Warming Science…,Intermedio,2–4 hours per week,14,Ingles,49.0,Massachusetts Institute of Technology,45365
Mastering QuantumMechanics Part 2:Quantum Dynamics…,Intermedio,12–13 hours per week,5,Ingles,50.0,Massachusetts Institute of Technology,45365
"Quantum InformationScience I, Part 2…",Intermedio,11–13 hours per week,5,Ingles,49.0,Massachusetts Institute of Technology,45365
AP® Physics 2 - Part 2:Electricity andMagnetism…,Principiante,2–4 hours per week,4,Ingles,49.0,Rice University,45365
Hyperloop: Changing theFuture of Transportation…,Intermedio,4–6 hours per week,6,Ingles,50.0,Delft University of Technology,45365
Modeling Climate Change…,Intermedio,3–5 hours per week,4,Ingles,50.0,University of Chicago,45365
Nanophotonic Modeling…,Avanzado,8–9 hours per week,5,Ingles,750.0,Purdue University,45365
Mastering QuantumMechanics Part 3:Entanglement and Angu……,Intermedio,12–13 hours per week,5,Ingles,50.0,Massachusetts Institute of Technology,45365
Mécanique des Fluides…,Avanzado,6–8 hours per week,8,Frances,50.0,École polytechnique fédérale de Lausanne,45365
"Quantum InformationScience I, Part 3…",Intermedio,11–13 hours per week,7,Ingles,49.0,Massachusetts Institute of Technology,45365
Solid State Devices 1…,Avanzado,7–10 hours per week,16,Ingles,2250.0,Purdue University,45365
"Quantum InformationScience II: Quantumstates, noise and error c……",Avanzado,11–13 hours per week,4,Ingles,49.0,Massachusetts Institute of Technology,45365
Complex Analysis withPhysical Applications…,Avanzado,3–5 hours per week,10,Ingles,49.0,NUST MISIS,45365
Atomic and OpticalPhysics: Quantum Statesand Dynamics of Photons…,Avanzado,10–12 hours per week,4,Ingles,49.0,Massachusetts Institute of Technology,45365
Synchrotrons and X-RayFree Electron Lasers…,Avanzado,2–3 hours per week,10,Ingles,49.0,École polytechnique fédérale de Lausanne,45365
Preparing for the AP*Physics C: Electricity andMagnetism Exam…,Principiante,6–10 hours per week,8,Ingles,50.0,Georgetown University,45365
The Radio Sky I: Scienceand Observations…,Intermedio,3–4 hours per week,7,Ingles,135.0,École polytechnique fédérale de Lausanne,45365
Quantum InformationScience II: EfficientQuantum Computing - f……,Avanzado,11–13 hours per week,4,Ingles,49.0,Massachusetts Institute of Technology,45365
AP® Physics 2 - Part 3:Optics and ModernPhysics…,Principiante,2–4 hours per week,4,Ingles,49.0,Rice University,45365
Quantum InformationScience II: Advancedquantum algorithms an……,Avanzado,11–13 hours per week,4,Ingles,49.0,Massachusetts Institute of Technology,45365
Natural Disasters…,Principiante,2–4 hours per week,11,Ingles,49.0,McGill,45365
"Symmetry, Structure andTensor Properties ofMaterials…",Intermedio,8–10 hours per week,4,Ingles,100.0,Massachusetts Institute of Technology,45365
Quantum Mechanics: 1DScattering and CentralPotentials…,Avanzado,12–14 hours per week,7,Ingles,49.0,Massachusetts Institute of Technology,45365
Atomic and OpticalPhysics: Atom-photoninteractions…,Avanzado,10–12 hours per week,4,Ingles,49.0,Massachusetts Institute of Technology,45365
