nombre_curso,nivel_del_curso,horas_dedicadas,duracion_del_curso(Semanas),lenguaje,precio(USD),organizacion,cant_estudiantes
Data Science: Inference and Modeling,Principiante,1–2 hours per week,8,Ingles,49.0,Harvard University,88256
Strengthening Community Health Worker Programs,Principiante,2–4 hours per week,6,Ingles,79.0,Harvard University,58626
Buddhism Through Its Scriptures,Principiante,5–10 hours per week,4,Ingles,99.0,Harvard University,182295
Introduction to Linux,Principiante,5–7 hours per week,14,Ingles,199.0,The Linux Foundation,642088
"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",Principiante,1–2 hours per week,10,Ingles,99.0,Harvard University,81221
Shakespeare's Life and Work,Principiante,5–7 hours per week,4,Ingles,49.0,Harvard University,48938
Marketing Digital: Content & Community Manager,Principiante,3–4 hours per week,5,Español,49.0,Universidad Galileo,112623
Accounting and Finance,Intermedio,2–4 hours per week,11,Ingles,150.0,Indian Institute of Management Bangalore,88243
Computing in Python I: Fundamentals and Procedural Programming,Principiante,9–10 hours per week,5,Ingles,99.0,The Georgia Institute of Technology,141966
"Nutrition, Exercise and Sports",Intermedio,4–8 hours per week,6,Ingles,49.0,Wageningen University & Research,51679
Becoming an Entrepreneur,Principiante,1–3 hours per week,6,Ingles,69.0,Massachusetts Institute of Technology,104760
"Religion, Conflict and Peace",Principiante,4–8 hours per week,8,Ingles,49.0,Harvard University,74060
"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You",Principiante,1–3 hours per week,10,Ingles,49.0,Harvard University,61139
Academic and Business Writing,Principiante,3–5 hours per week,6,Ingles,49.0,"University of California, Berkeley",322701
Data Science: Capstone,Principiante,15–20 hours per week,2,Ingles,99.0,Harvard University,62803
Basics of Computing and Programming,Principiante,6–8 hours per week,9,Ingles,200.0,New York University,37045
"Fundamentals of Neuroscience, Part 2: Neurons and Networks",Principiante,3–5 hours per week,6,Ingles,99.0,Harvard University,84874
Successful Negotiation: Essential Strategies and Skills,Principiante,2–4 hours per week,7,Ingles,49.0,The University of Michigan,31369
Data Science: Linear Regression,Principiante,1–2 hours per week,8,Ingles,49.0,Harvard University,75310
HTML5 and CSS Fundamentals,Principiante,4–6 hours per week,6,Ingles,199.0,The World Wide Web Consortium (W3C),335895
Data Science: Productivity Tools,Principiante,1–2 hours per week,8,Ingles,49.0,Harvard University,66683
Introduction to Corporate Finance,Principiante,3–4 hours per week,4,Ingles,225.0,Columbia University,98093
Computer Science 101,Principiante,4–6 hours per week,6,Ingles,149.0,Stanford University,39540
